time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
520,0,0,0,3,1
539.718,0,0,0,4,0
539.72,0,0,0,3,1
539.72,0,0,0,1,3
616.082,0,0,0,2,2
616.084,0,0,0,1,3
621.698,0,0,0,2,2
621.7,0,0,0,1,3
640.199,0,0,0,2,2
851.307,0,0,0,4,0
851.309,0,0,0,2,2
1314.71,0,0,0,4,0
1314.71,0,0,0,3,1
1327.75,0,0,0,4,0
1360,0,0,0,1,3
1933.17,0,0,0,4,0
1933.17,0,0,0,2,2
1933.17,0,0,0,1,3
1936.96,0,0,0,2,2
1936.96,0,0,0,0,4
2737.01,0,0,0,2,2
2737.01,0,0,0,1,3
2737.01,0,0,0,0,4
2740.62,0,0,0,1,3
2753.61,0,0,0,2,2
2753.61,0,0,0,1,3
2772.44,0,0,0,2,2
2772.44,0,0,0,1,3
2780.9,0,0,0,2,2
2780.9,0,0,0,1,3
2797.47,0,0,0,2,2
2797.47,0,0,0,1,3
2808.32,0,0,0,2,2
2862.35,0,0,0,4,0
2862.35,0,0,0,3,1
2873.79,0,0,0,4,0
2873.8,0,0,0,3,1
2874.44,0,0,0,4,0
2874.44,0,0,0,3,1
2878.29,0,0,0,4,0
2878.29,0,0,0,3,1
2886.58,0,0,0,4,0
4360,0,0,0,3,1
4371.76,0,0,0,4,0
4371.76,0,0,0,3,1
4371.76,0,0,0,2,2
4375.37,0,0,0,3,1
4375.37,0,0,0,2,2
4377.25,0,0,0,3,1
4377.25,0,0,0,2,2
4377.56,0,0,0,3,1
4391.28,0,0,0,4,0
4391.28,0,0,0,3,1
4419.76,0,0,0,4,0
4419.76,0,0,0,3,1
4420.41,0,0,0,4,0
5080,0,0,0,3,1
5083.25,0,0,0,4,0
5083.25,0,0,0,3,1
5083.25,0,0,0,2,2
5087.52,0,0,0,3,1
5087.52,0,0,0,2,2
5097.07,0,0,0,3,1
5163.94,0,0,0,4,0
5163.95,0,0,0,1,3
5163.95,0,0,0,0,4
5167.74,0,0,0,1,3
5167.74,0,0,0,0,4
5184.19,0,0,0,1,3
5184.19,0,0,0,0,4
5195.8,0,0,0,1,3
5195.8,0,0,0,0,4
5196.48,0,0,0,1,3
5196.48,0,0,0,0,4
5204.95,0,0,0,1,3
5204.95,0,0,0,0,4
5389.41,0,0,0,1,3
5389.42,0,0,0,0,4
5397.29,0,0,0,1,3
5622.45,0,0,0,4,0
5622.45,0,0,0,3,1
5632.98,0,0,0,4,0
5632.98,0,0,0,3,1
5645.29,0,0,0,4,0
5800,0,0,0,1,3
6523.53,0,0,0,4,0
6523.53,0,0,0,3,1
6523.53,0,0,0,2,2
6537.36,0,0,0,3,1
6537.36,0,0,0,1,3
6543.25,0,0,0,2,2
7033.05,0,0,0,4,0
7033.05,0,0,0,3,1
7046.22,0,0,0,4,0
7046.22,0,0,0,3,1
7046.57,0,0,0,4,0
7046.57,0,0,0,3,1
7064.33,0,0,0,4,0
7160,0,0,0,3,1
7163.07,0,0,0,4,0
7163.08,0,0,0,3,1
7163.08,0,0,0,2,2
7168.93,0,0,0,3,1
7480,0,0,0,2,2
7528.4,0,0,0,3,1
7528.4,0,0,0,2,2
7528.4,0,0,0,0,4
7534.27,0,0,0,1,3
7534.27,0,0,0,0,4
7729.89,0,0,0,1,3
7989.9,0,0,0,3,1
7989.9,0,0,0,1,3
7989.9,0,0,0,0,4
8005.69,0,0,0,1,3
8005.69,0,0,0,0,4
8016.54,0,0,0,1,3
8016.54,0,0,0,0,4
8017.56,0,0,0,1,3
8017.56,0,0,0,0,4
8030.02,0,0,0,1,3
8030.03,0,0,0,0,4
8036.55,0,0,0,1,3
8036.55,0,0,0,0,4
8041.07,0,0,0,1,3
8041.08,0,0,0,0,4
8059.91,0,0,0,1,3
8059.91,0,0,0,0,4
8060.37,0,0,0,1,3
8060.37,0,0,0,0,4
8060.68,0,0,0,1,3
8060.68,0,0,0,0,4
8066.56,0,0,0,1,3
8066.56,0,0,0,0,4
8070.17,0,0,0,1,3
8208.53,0,0,0,3,1
8208.53,0,0,0,0,4
8479.67,0,0,0,1,3
8479.67,0,0,0,0,4
8803.84,0,0,0,3,1
8803.84,0,0,0,2,2
8803.84,0,0,0,1,3
8803.84,0,0,0,0,4
8812.13,0,0,0,1,3
8812.13,0,0,0,0,4
8814.2,0,0,0,1,3
8814.2,0,0,0,0,4
8820.44,0,0,0,1,3
8820.44,0,0,0,0,4
8820.5,0,0,0,1,3
8820.5,0,0,0,0,4
8820.81,0,0,0,1,3
8820.81,0,0,0,0,4
8822.57,0,0,0,1,3
8822.57,0,0,0,0,4
8823.82,0,0,0,1,3
8823.82,0,0,0,0,4
8824.13,0,0,0,1,3
8824.13,0,0,0,0,4
8833.68,0,0,0,1,3
8833.69,0,0,0,0,4
8835.05,0,0,0,1,3
8835.05,0,0,0,0,4
8836.94,0,0,0,1,3
8836.94,0,0,0,0,4
8839.61,0,0,0,1,3
8839.62,0,0,0,0,4
8840.78,0,0,0,1,3
8851.89,0,0,0,2,2
8878.36,0,0,0,3,1
8878.36,0,0,0,1,3
8878.36,0,0,0,0,4
8886.65,0,0,0,1,3
8886.65,0,0,0,0,4
8894.57,0,0,0,1,3
8894.58,0,0,0,0,4
8899.43,0,0,0,1,3
8899.43,0,0,0,0,4
8904.61,0,0,0,1,3
8904.61,0,0,0,0,4
8911.89,0,0,0,1,3
8911.89,0,0,0,0,4
8912.98,0,0,0,1,3
8912.98,0,0,0,0,4
8917.52,0,0,0,1,3
8917.52,0,0,0,0,4
8934.69,0,0,0,1,3
8934.69,0,0,0,0,4
8961.38,0,0,0,1,3
8961.38,0,0,0,0,4
8961.41,0,0,0,1,3
8961.42,0,0,0,0,4
8969.93,0,0,0,1,3
8969.93,0,0,0,0,4
8981.13,0,0,0,1,3
8981.14,0,0,0,0,4
8998.86,0,0,0,1,3
8998.86,0,0,0,0,4
9018.46,0,0,0,1,3
9018.47,0,0,0,0,4
9062.23,0,0,0,1,3
9062.23,0,0,0,0,4
9179.48,0,0,0,1,3
9418.62,0,0,0,2,2
9682.2,0,0,0,4,0
9682.2,0,0,0,1,3
9682.2,0,0,0,0,4
9723.59,0,0,0,1,3
10169.4,0,0,0,4,0
10169.4,0,0,0,1,3
10169.4,0,0,0,0,4
