time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
520.001,0,0,0,3,1
529.748,0,0,0,4,0
529.75,0,0,0,3,1
529.751,0,0,0,1,3
567.499,0,0,0,2,2
567.501,0,0,0,1,3
570.276,0,0,0,2,2
570.277,0,0,0,1,3
579.422,0,0,0,2,2
841.338,0,0,0,4,0
841.34,0,0,0,2,2
1304.74,0,0,0,4,0
1304.74,0,0,0,3,1
1311.19,0,0,0,4,0
1360,0,0,0,1,3
1933.17,0,0,0,4,0
1933.17,0,0,0,2,2
1933.17,0,0,0,1,3
1936.96,0,0,0,2,2
1936.97,0,0,0,0,4
2737.01,0,0,0,2,2
2737.01,0,0,0,1,3
2737.01,0,0,0,0,4
2740.62,0,0,0,1,3
2745.21,0,0,0,2,2
2745.22,0,0,0,1,3
2754.52,0,0,0,2,2
2754.53,0,0,0,1,3
2758.71,0,0,0,2,2
2758.71,0,0,0,1,3
2766.9,0,0,0,2,2
2766.9,0,0,0,1,3
2772.26,0,0,0,2,2
2862.36,0,0,0,4,0
2862.36,0,0,0,3,1
2880.36,0,0,0,4,0
2880.36,0,0,0,3,1
2881.37,0,0,0,4,0
2881.37,0,0,0,3,1
2887.42,0,0,0,4,0
2887.42,0,0,0,3,1
2900.47,0,0,0,4,0
4360,0,0,0,3,1
4378.5,0,0,0,4,0
4378.5,0,0,0,3,1
4378.5,0,0,0,2,2
4384.18,0,0,0,3,1
4384.19,0,0,0,2,2
4386.06,0,0,0,3,1
4386.06,0,0,0,2,2
4386.37,0,0,0,3,1
4398.02,0,0,0,4,0
4398.02,0,0,0,3,1
4442.83,0,0,0,4,0
4442.84,0,0,0,3,1
4443.85,0,0,0,4,0
5080,0,0,0,3,1
5085.12,0,0,0,4,0
5085.12,0,0,0,3,1
5085.12,0,0,0,2,2
5091.83,0,0,0,3,1
5091.83,0,0,0,2,2
5101.38,0,0,0,3,1
5120,0,0,0,2,2
5122.41,0,0,0,3,1
5122.41,0,0,0,2,2
5122.42,0,0,0,1,3
5128.16,0,0,0,2,2
5132.87,0,0,0,3,1
5132.87,0,0,0,2,2
5133.3,0,0,0,3,1
5133.3,0,0,0,2,2
5138.68,0,0,0,3,1
5138.68,0,0,0,2,2
5165.81,0,0,0,3,1
5165.81,0,0,0,0,4
5229.87,0,0,0,1,3
5229.87,0,0,0,0,4
5233.77,0,0,0,1,3
5624.32,0,0,0,4,0
5624.32,0,0,0,3,1
5640.88,0,0,0,4,0
5640.88,0,0,0,3,1
5660.25,0,0,0,4,0
5800,0,0,0,1,3
6523.53,0,0,0,4,0
6523.53,0,0,0,3,1
6523.53,0,0,0,2,2
6543.25,0,0,0,3,1
6545.29,0,0,0,4,0
6545.29,0,0,0,2,2
7040.98,0,0,0,4,0
7040.98,0,0,0,3,1
7054.15,0,0,0,4,0
7054.15,0,0,0,3,1
7054.5,0,0,0,4,0
7054.5,0,0,0,3,1
7072.26,0,0,0,4,0
7160,0,0,0,3,1
7163.08,0,0,0,4,0
7163.08,0,0,0,3,1
7163.08,0,0,0,2,2
7172.28,0,0,0,3,1
7480,0,0,0,2,2
7556.15,0,0,0,3,1
7556.15,0,0,0,2,2
7556.15,0,0,0,0,4
7565.39,0,0,0,1,3
7565.39,0,0,0,0,4
7729.89,0,0,0,1,3
7729.89,0,0,0,0,4
7745.68,0,0,0,1,3
7745.68,0,0,0,0,4
7746.7,0,0,0,1,3
7746.7,0,0,0,0,4
7751.22,0,0,0,1,3
7751.22,0,0,0,0,4
7751.71,0,0,0,1,3
7760,0,0,0,0,4
7770.85,0,0,0,1,3
7770.86,0,0,0,0,4
7783.32,0,0,0,1,3
7783.32,0,0,0,0,4
7789.84,0,0,0,1,3
7789.85,0,0,0,0,4
7808.68,0,0,0,1,3
7808.68,0,0,0,0,4
7817.92,0,0,0,1,3
8017.65,0,0,0,3,1
8017.65,0,0,0,1,3
8040,0,0,0,0,4
8236.28,0,0,0,2,2
8236.28,0,0,0,1,3
8236.28,0,0,0,0,4
8242.73,0,0,0,1,3
8242.73,0,0,0,0,4
8243.7,0,0,0,1,3
8243.7,0,0,0,0,4
8243.94,0,0,0,1,3
8246.83,0,0,0,2,2
8246.83,0,0,0,1,3
8246.83,0,0,0,0,4
8256.38,0,0,0,1,3
8257.19,0,0,0,2,2
8257.19,0,0,0,1,3
8257.19,0,0,0,0,4
8263.7,0,0,0,1,3
8266.75,0,0,0,2,2
8266.75,0,0,0,1,3
8275.3,0,0,0,2,2
8393.14,0,0,0,3,1
8393.14,0,0,0,0,4
8459.76,0,0,0,1,3
8459.76,0,0,0,0,4
8879.52,0,0,0,1,3
8879.52,0,0,0,0,4
8892.69,0,0,0,1,3
8892.7,0,0,0,0,4
8907.31,0,0,0,1,3
8907.31,0,0,0,0,4
8907.79,0,0,0,1,3
8907.79,0,0,0,0,4
8913.48,0,0,0,1,3
8913.48,0,0,0,0,4
8926.65,0,0,0,1,3
8926.65,0,0,0,0,4
8931.77,0,0,0,1,3
8931.77,0,0,0,0,4
8944.81,0,0,0,1,3
8944.81,0,0,0,0,4
8957.27,0,0,0,1,3
8957.28,0,0,0,0,4
8988.45,0,0,0,3,1
8988.45,0,0,0,1,3
8988.45,0,0,0,0,4
8994.5,0,0,0,1,3
8994.5,0,0,0,0,4
9000.58,0,0,0,1,3
9000.59,0,0,0,0,4
9016.37,0,0,0,1,3
9016.37,0,0,0,0,4
9022,0,0,0,1,3
9022,0,0,0,0,4
9051.58,0,0,0,1,3
9051.58,0,0,0,0,4
9064.04,0,0,0,1,3
9064.04,0,0,0,0,4
9081.21,0,0,0,1,3
9081.21,0,0,0,0,4
9100.93,0,0,0,1,3
9100.93,0,0,0,0,4
9127.66,0,0,0,1,3
9127.66,0,0,0,0,4
9204.02,0,0,0,1,3
9204.03,0,0,0,0,4
9272.89,0,0,0,1,3
9272.89,0,0,0,0,4
9338,0,0,0,1,3
9338,0,0,0,0,4
9355.72,0,0,0,1,3
9355.72,0,0,0,0,4
9373.72,0,0,0,1,3
9373.72,0,0,0,0,4
9390.92,0,0,0,1,3
9390.93,0,0,0,0,4
9414.26,0,0,0,1,3
9414.26,0,0,0,0,4
9426.91,0,0,0,1,3
9426.92,0,0,0,0,4
9503.06,0,0,0,1,3
9503.06,0,0,0,0,4
9503.74,0,0,0,1,3
9503.74,0,0,0,0,4
9575.39,0,0,0,1,3
9593.16,0,0,0,2,2
9593.16,0,0,0,1,3
9610.31,0,0,0,2,2
9792.29,0,0,0,4,0
9792.29,0,0,0,1,3
10279.5,0,0,0,4,0
10279.5,0,0,0,1,3
