time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
520.001,0,0,0,3,1
529.748,0,0,0,4,0
529.75,0,0,0,3,1
529.751,0,0,0,1,3
567.499,0,0,0,2,2
567.501,0,0,0,1,3
570.276,0,0,0,2,2
570.277,0,0,0,1,3
579.422,0,0,0,2,2
841.338,0,0,0,4,0
841.34,0,0,0,2,2
1304.74,0,0,0,4,0
1304.74,0,0,0,3,1
1311.19,0,0,0,4,0
1360,0,0,0,1,3
1933.17,0,0,0,4,0
1933.17,0,0,0,2,2
1933.17,0,0,0,1,3
1936.96,0,0,0,2,2
1936.97,0,0,0,0,4
2737.01,0,0,0,2,2
2737.01,0,0,0,1,3
2737.01,0,0,0,0,4
2740.62,0,0,0,1,3
2745.21,0,0,0,2,2
2745.22,0,0,0,1,3
2754.52,0,0,0,2,2
2754.53,0,0,0,1,3
2758.71,0,0,0,2,2
2758.71,0,0,0,1,3
2766.9,0,0,0,2,2
2766.9,0,0,0,1,3
2772.26,0,0,0,2,2
2862.36,0,0,0,4,0
2862.36,0,0,0,3,1
2880.36,0,0,0,4,0
2880.36,0,0,0,3,1
2881.37,0,0,0,4,0
2881.37,0,0,0,3,1
2887.42,0,0,0,4,0
2887.42,0,0,0,3,1
2900.47,0,0,0,4,0
4360,0,0,0,3,1
4378.5,0,0,0,4,0
4378.5,0,0,0,3,1
4378.5,0,0,0,2,2
4384.18,0,0,0,3,1
4384.19,0,0,0,2,2
4386.06,0,0,0,3,1
4386.06,0,0,0,2,2
4386.37,0,0,0,3,1
4398.02,0,0,0,4,0
4398.02,0,0,0,3,1
4442.83,0,0,0,4,0
4442.84,0,0,0,3,1
4443.85,0,0,0,4,0
5080,0,0,0,3,1
5085.12,0,0,0,4,0
5085.12,0,0,0,3,1
5085.12,0,0,0,2,2
5091.83,0,0,0,3,1
5091.83,0,0,0,2,2
5101.38,0,0,0,3,1
5120,0,0,0,2,2
5122.41,0,0,0,3,1
5165.81,0,0,0,4,0
5165.81,0,0,0,1,3
5165.81,0,0,0,0,4
5173.94,0,0,0,1,3
5173.95,0,0,0,0,4
5179.69,0,0,0,1,3
5179.69,0,0,0,0,4
5180.02,0,0,0,1,3
5180.02,0,0,0,0,4
5184.21,0,0,0,1,3
5184.21,0,0,0,0,4
5275.4,0,0,0,1,3
5275.4,0,0,0,0,4
5279.29,0,0,0,1,3
5624.32,0,0,0,4,0
5624.32,0,0,0,3,1
5640.88,0,0,0,4,0
5640.88,0,0,0,3,1
5660.25,0,0,0,4,0
5800,0,0,0,1,3
6523.53,0,0,0,4,0
6523.53,0,0,0,3,1
6523.53,0,0,0,2,2
6543.25,0,0,0,3,1
6545.29,0,0,0,4,0
6545.29,0,0,0,2,2
7040.98,0,0,0,4,0
7040.98,0,0,0,3,1
7054.15,0,0,0,4,0
7054.15,0,0,0,3,1
7054.5,0,0,0,4,0
7054.5,0,0,0,3,1
7072.26,0,0,0,4,0
7160,0,0,0,3,1
7163.08,0,0,0,4,0
7163.08,0,0,0,3,1
7163.08,0,0,0,2,2
7172.28,0,0,0,3,1
7480,0,0,0,2,2
7556.15,0,0,0,3,1
7556.15,0,0,0,2,2
7556.15,0,0,0,0,4
7565.39,0,0,0,1,3
7565.39,0,0,0,0,4
7729.89,0,0,0,1,3
7760,0,0,0,0,4
7770.85,0,0,0,1,3
7770.86,0,0,0,0,4
7786.64,0,0,0,1,3
8017.65,0,0,0,3,1
8017.65,0,0,0,1,3
8017.65,0,0,0,0,4
8030.12,0,0,0,1,3
8030.12,0,0,0,0,4
8036.64,0,0,0,1,3
8036.64,0,0,0,0,4
8037.66,0,0,0,1,3
8037.66,0,0,0,0,4
8056.49,0,0,0,1,3
8056.49,0,0,0,0,4
8061.01,0,0,0,1,3
8061.01,0,0,0,0,4
8236.28,0,0,0,2,2
8236.28,0,0,0,1,3
8236.28,0,0,0,0,4
8236.52,0,0,0,1,3
8236.52,0,0,0,0,4
8242.15,0,0,0,1,3
8242.15,0,0,0,0,4
8242.97,0,0,0,1,3
8242.97,0,0,0,0,4
8251.03,0,0,0,1,3
8252.7,0,0,0,2,2
8393.14,0,0,0,3,1
8393.14,0,0,0,0,4
8480.77,0,0,0,1,3
8480.77,0,0,0,0,4
8482.74,0,0,0,1,3
8482.74,0,0,0,0,4
8483.22,0,0,0,1,3
8483.22,0,0,0,0,4
8498.26,0,0,0,1,3
8498.26,0,0,0,0,4
8503.94,0,0,0,1,3
8503.94,0,0,0,0,4
8517.11,0,0,0,1,3
8517.11,0,0,0,0,4
8530.28,0,0,0,1,3
8530.28,0,0,0,0,4
8549.59,0,0,0,1,3
8640,0,0,0,0,4
8645.12,0,0,0,1,3
8645.12,0,0,0,0,4
8659.73,0,0,0,1,3
8659.73,0,0,0,0,4
8672.9,0,0,0,1,3
8720,0,0,0,0,4
8732.46,0,0,0,1,3
8732.47,0,0,0,0,4
8988.45,0,0,0,3,1
8988.45,0,0,0,2,2
8988.45,0,0,0,1,3
8988.76,0,0,0,2,2
8988.76,0,0,0,0,4
8996.26,0,0,0,1,3
8996.26,0,0,0,0,4
9002.71,0,0,0,1,3
9002.71,0,0,0,0,4
9009.36,0,0,0,1,3
9009.36,0,0,0,0,4
9023.98,0,0,0,1,3
9023.98,0,0,0,0,4
9045.39,0,0,0,1,3
9045.39,0,0,0,0,4
9048.38,0,0,0,1,3
9048.39,0,0,0,0,4
9056.87,0,0,0,1,3
9056.87,0,0,0,0,4
9059.65,0,0,0,1,3
9059.65,0,0,0,0,4
9152.23,0,0,0,1,3
9152.23,0,0,0,0,4
9164.69,0,0,0,1,3
9164.69,0,0,0,0,4
9241.05,0,0,0,1,3
9241.06,0,0,0,0,4
9267.16,0,0,0,1,3
9267.16,0,0,0,0,4
9276.91,0,0,0,1,3
9276.91,0,0,0,0,4
9290.12,0,0,0,1,3
9290.12,0,0,0,0,4
9306.17,0,0,0,1,3
9306.17,0,0,0,0,4
9327.76,0,0,0,1,3
9327.76,0,0,0,0,4
9336.52,0,0,0,1,3
9336.52,0,0,0,0,4
9345.42,0,0,0,1,3
9345.42,0,0,0,0,4
9353.93,0,0,0,1,3
9353.93,0,0,0,0,4
9375.03,0,0,0,1,3
9375.03,0,0,0,0,4
9387.68,0,0,0,1,3
9445.12,0,0,0,2,2
9792.6,0,0,0,4,0
9792.6,0,0,0,1,3
9792.6,0,0,0,0,4
9793.28,0,0,0,1,3
10279.8,0,0,0,4,0
10279.8,0,0,0,1,3
10279.8,0,0,0,0,4
10369.2,0,0,0,1,3
10369.2,0,0,0,0,4
10386.4,0,0,0,1,3
