job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,low_21,520.000000,1,20.846219,1,COMPLETED_SUCCESSFULLY,520.001200,9.747282,529.748482,0.001200,9.748482,1.000123,0,-1.000000,""
1,w0,med_63,520.000000,1,82.484178,1,COMPLETED_SUCCESSFULLY,529.750132,37.748731,567.498863,9.750132,47.498863,1.258290,0,-1.000000,""
2,w0,low_13,520.000000,1,5.944908,1,COMPLETED_SUCCESSFULLY,567.500513,2.775016,570.275529,47.500513,50.275529,18.117203,0,-1.000000,""
3,w0,low_25,520.000000,1,19.561662,1,COMPLETED_SUCCESSFULLY,570.277179,9.145079,579.422258,50.277179,59.422258,6.497731,0,-1.000000,""
5,w0,med_89,520.000000,2,311.587541,0,COMPLETED_WALLTIME_REACHED,529.750732,311.587541,841.338273,9.750732,321.338273,1.031294,1-2,-1.000000,""
6,w0,med_74,520.000000,2,463.397663,0,COMPLETED_WALLTIME_REACHED,841.339923,463.397663,1304.737586,321.339923,784.737586,1.693443,0-1,-1.000000,""
4,w0,low_5,520.000000,1,13.780403,1,COMPLETED_SUCCESSFULLY,1304.739236,6.447170,1311.186406,784.739236,791.186406,122.718410,0,-1.000000,""
7,w0,med_83,1360.000000,3,573.166215,0,COMPLETED_WALLTIME_REACHED,1360.001800,573.166215,1933.168015,0.001800,573.168015,1.000003,0-2,-1.000000,""
12,w0,low_32,1360.000000,1,4.015615,1,COMPLETED_SUCCESSFULLY,1933.170265,3.794039,1936.964304,573.170265,576.964304,152.071262,2,-1.000000,""
14,w0,med_82,1760.000000,2,803.837473,0,COMPLETED_WALLTIME_REACHED,1933.169665,803.837473,2737.007138,173.169665,977.007138,1.215429,0-1,-1.000000,""
19,w0,low_34,1760.000000,1,6.017676,1,COMPLETED_SUCCESSFULLY,2737.009388,3.610596,2740.619984,977.009388,980.619984,271.595057,1,-1.000000,""
15,w0,low_35,1760.000000,1,17.543373,1,COMPLETED_SUCCESSFULLY,2737.008788,8.205672,2745.214460,977.008788,985.214460,120.065060,0,-1.000000,""
16,w0,low_44,1760.000000,1,19.898152,1,COMPLETED_SUCCESSFULLY,2745.216110,9.308150,2754.524260,985.216110,994.524260,106.844462,0,-1.000000,""
17,w0,low_2,1760.000000,1,8.951615,1,COMPLETED_SUCCESSFULLY,2754.525910,4.182906,2758.708816,994.525910,998.708816,238.759556,0,-1.000000,""
20,w0,low_57,1760.000000,1,17.503694,1,COMPLETED_SUCCESSFULLY,2758.710466,8.186861,2766.897328,998.710466,1006.897328,122.989420,0,-1.000000,""
18,w0,low_40,1760.000000,1,11.465935,1,COMPLETED_SUCCESSFULLY,2766.898978,5.364628,2772.263606,1006.898978,1012.263606,188.692235,0,-1.000000,""
8,w0,med_80,1360.000000,2,925.389273,0,COMPLETED_WALLTIME_REACHED,1936.965954,925.389273,2862.355227,576.965954,1502.355227,1.623485,2-3,-1.000000,""
9,w0,low_43,1360.000000,1,19.025134,1,COMPLETED_SUCCESSFULLY,2862.356877,18.000018,2880.356895,1502.356877,1520.356895,84.464187,3,-1.000000,""
10,w0,low_24,1360.000000,1,1.072866,1,COMPLETED_SUCCESSFULLY,2880.358545,1.014512,2881.373057,1520.358545,1521.373057,1499.610429,3,-1.000000,""
13,w0,low_38,1360.000000,1,6.393285,1,COMPLETED_SUCCESSFULLY,2881.374707,6.047455,2887.422163,1521.374707,1527.422163,252.572702,3,-1.000000,""
11,w0,low_5,1360.000000,1,13.780403,1,COMPLETED_SUCCESSFULLY,2887.423813,13.042050,2900.465863,1527.423813,1540.465863,118.115313,3,-1.000000,""
21,w0,low_25,4360.000000,1,19.561662,1,COMPLETED_SUCCESSFULLY,4360.001800,18.499680,4378.501480,0.001800,18.501480,1.000097,3,-1.000000,""
22,w0,low_34,4360.000000,1,6.017676,1,COMPLETED_SUCCESSFULLY,4378.503130,5.680814,4384.183944,18.503130,24.183944,4.257127,3,-1.000000,""
23,w0,low_51,4360.000000,1,3.137564,1,COMPLETED_SUCCESSFULLY,4384.185594,1.877119,4386.062713,24.185594,26.062713,13.884422,1,-1.000000,""
24,w0,low_1,4360.000000,1,0.519806,1,COMPLETED_SUCCESSFULLY,4386.064363,0.307660,4386.372024,26.064363,26.372024,85.717960,1,-1.000000,""
26,w0,low_8,4360.000000,1,20.630289,1,COMPLETED_SUCCESSFULLY,4378.503730,19.515993,4398.019723,18.503730,38.019723,1.948132,2,-1.000000,""
27,w0,med_88,4360.000000,1,47.976655,1,COMPLETED_SUCCESSFULLY,4398.021373,44.813544,4442.834918,38.021373,82.834918,1.848435,3,-1.000000,""
25,w0,low_24,4360.000000,1,1.072866,1,COMPLETED_SUCCESSFULLY,4442.836568,1.014512,4443.851080,82.836568,83.851080,82.651624,3,-1.000000,""
28,w0,low_31,5080.000000,1,5.425149,1,COMPLETED_SUCCESSFULLY,5080.001800,5.117397,5085.119197,0.001800,5.119197,1.000352,3,-1.000000,""
29,w0,low_55,5080.000000,1,7.085582,1,COMPLETED_SUCCESSFULLY,5085.120847,6.705548,5091.826395,5.120847,11.826395,1.763673,3,-1.000000,""
