time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
520.001,0,0,0,3,1
529.748,0,0,0,4,0
529.75,0,0,0,3,1
529.751,0,0,0,1,3
567.499,0,0,0,2,2
567.501,0,0,0,1,3
570.276,0,0,0,2,2
570.277,0,0,0,1,3
579.422,0,0,0,2,2
841.338,0,0,0,4,0
841.34,0,0,0,2,2
1304.74,0,0,0,4,0
1304.74,0,0,0,3,1
1311.19,0,0,0,4,0
1360,0,0,0,1,3
1933.17,0,0,0,4,0
1933.17,0,0,0,2,2
1933.17,0,0,0,1,3
1936.96,0,0,0,2,2
1936.97,0,0,0,0,4
2737.01,0,0,0,2,2
2737.01,0,0,0,1,3
2737.01,0,0,0,0,4
2740.62,0,0,0,1,3
2745.21,0,0,0,2,2
2745.22,0,0,0,1,3
2754.52,0,0,0,2,2
2754.53,0,0,0,1,3
2758.71,0,0,0,2,2
2758.71,0,0,0,1,3
2766.9,0,0,0,2,2
2766.9,0,0,0,1,3
2772.26,0,0,0,2,2
2862.36,0,0,0,4,0
2862.36,0,0,0,3,1
2880.36,0,0,0,4,0
2880.36,0,0,0,3,1
2881.37,0,0,0,4,0
2881.37,0,0,0,3,1
2887.42,0,0,0,4,0
2887.42,0,0,0,3,1
2900.47,0,0,0,4,0
4360,0,0,0,3,1
4378.5,0,0,0,4,0
4378.5,0,0,0,3,1
4378.5,0,0,0,2,2
4384.18,0,0,0,3,1
4384.19,0,0,0,2,2
4386.06,0,0,0,3,1
4386.06,0,0,0,2,2
4386.37,0,0,0,3,1
4398.02,0,0,0,4,0
4398.02,0,0,0,3,1
4442.83,0,0,0,4,0
4442.84,0,0,0,3,1
4443.85,0,0,0,4,0
5080,0,0,0,3,1
5085.12,0,0,0,4,0
5085.12,0,0,0,3,1
5085.12,0,0,0,2,2
5091.83,0,0,0,3,1
5091.83,0,0,0,2,2
5101.38,0,0,0,3,1
5165.81,0,0,0,4,0
5165.81,0,0,0,1,3
5165.81,0,0,0,0,4
5167.69,0,0,0,1,3
5167.69,0,0,0,0,4
5175.82,0,0,0,1,3
5175.82,0,0,0,0,4
5181.56,0,0,0,1,3
5181.56,0,0,0,0,4
5181.9,0,0,0,1,3
5181.9,0,0,0,0,4
5186.08,0,0,0,1,3
5186.09,0,0,0,0,4
5277.28,0,0,0,1,3
5277.28,0,0,0,0,4
5281.17,0,0,0,1,3
5624.32,0,0,0,4,0
5624.32,0,0,0,3,1
5640.88,0,0,0,4,0
5640.88,0,0,0,3,1
5660.25,0,0,0,4,0
5800,0,0,0,1,3
6523.53,0,0,0,4,0
6523.53,0,0,0,3,1
6523.53,0,0,0,2,2
6543.25,0,0,0,3,1
6545.29,0,0,0,4,0
6545.29,0,0,0,2,2
7040.98,0,0,0,4,0
7040.98,0,0,0,3,1
7054.15,0,0,0,4,0
7054.15,0,0,0,3,1
7054.5,0,0,0,4,0
7054.5,0,0,0,3,1
7072.26,0,0,0,4,0
7160,0,0,0,3,1
7163.08,0,0,0,4,0
7163.08,0,0,0,3,1
7163.08,0,0,0,2,2
7172.28,0,0,0,3,1
7480,0,0,0,2,2
7556.15,0,0,0,3,1
7556.15,0,0,0,2,2
7556.15,0,0,0,0,4
7565.39,0,0,0,1,3
7565.39,0,0,0,0,4
7729.89,0,0,0,1,3
8017.65,0,0,0,3,1
8017.65,0,0,0,1,3
8017.65,0,0,0,0,4
8033.44,0,0,0,1,3
8033.44,0,0,0,0,4
8044.29,0,0,0,1,3
8044.3,0,0,0,0,4
8045.31,0,0,0,1,3
8045.31,0,0,0,0,4
8236.28,0,0,0,2,2
8236.28,0,0,0,1,3
8236.28,0,0,0,0,4
8240.43,0,0,0,1,3
8240.43,0,0,0,0,4
8242.44,0,0,0,1,3
8242.44,0,0,0,0,4
8243.3,0,0,0,1,3
8243.3,0,0,0,0,4
8248.89,0,0,0,1,3
8248.89,0,0,0,0,4
8253.85,0,0,0,1,3
8253.86,0,0,0,0,4
8256.95,0,0,0,1,3
8256.95,0,0,0,0,4
8257.19,0,0,0,1,3
8257.19,0,0,0,0,4
8258.16,0,0,0,1,3
8258.16,0,0,0,0,4
8258.4,0,0,0,1,3
8258.4,0,0,0,0,4
8265.82,0,0,0,1,3
8265.82,0,0,0,0,4
8265.83,0,0,0,1,3
8265.84,0,0,0,0,4
8270.4,0,0,0,1,3
8278.1,0,0,0,2,2
8278.1,0,0,0,0,4
8393.14,0,0,0,1,3
8465.07,0,0,0,2,2
9081.94,0,0,0,4,0
9081.94,0,0,0,1,3
9081.94,0,0,0,0,4
9095.11,0,0,0,1,3
9095.11,0,0,0,0,4
9100.79,0,0,0,1,3
9100.79,0,0,0,0,4
9113.96,0,0,0,1,3
9113.96,0,0,0,0,4
9127.13,0,0,0,1,3
9127.13,0,0,0,0,4
9141.75,0,0,0,1,3
9141.75,0,0,0,0,4
9142.23,0,0,0,1,3
9677.25,0,0,0,4,0
9677.25,0,0,0,1,3
9677.25,0,0,0,0,4
9690.7,0,0,0,1,3
9690.7,0,0,0,0,4
10110.5,0,0,0,1,3
10110.5,0,0,0,0,4
10115.6,0,0,0,1,3
10115.6,0,0,0,0,4
10128.6,0,0,0,1,3
10128.6,0,0,0,0,4
10141.1,0,0,0,1,3
10141.1,0,0,0,0,4
10184.4,0,0,0,1,3
10184.4,0,0,0,0,4
10190.4,0,0,0,1,3
10190.4,0,0,0,0,4
10255.6,0,0,0,1,3
10255.6,0,0,0,0,4
10272.6,0,0,0,3,1
10272.6,0,0,0,2,2
10272.6,0,0,0,1,3
10272.6,0,0,0,0,4
10285.1,0,0,0,1,3
10285.1,0,0,0,0,4
10288.3,0,0,0,1,3
10288.4,0,0,0,0,4
10290.8,0,0,0,1,3
10290.8,0,0,0,0,4
10300.8,0,0,0,1,3
10300.8,0,0,0,0,4
10308.8,0,0,0,1,3
10308.8,0,0,0,0,4
10318,0,0,0,1,3
10318,0,0,0,0,4
10321,0,0,0,1,3
10321,0,0,0,0,4
10325.9,0,0,0,1,3
10325.9,0,0,0,0,4
10333.5,0,0,0,1,3
10333.5,0,0,0,0,4
10335.2,0,0,0,1,3
10335.2,0,0,0,0,4
10341.5,0,0,0,1,3
10341.5,0,0,0,0,4
10352.6,0,0,0,1,3
10352.6,0,0,0,0,4
10353.3,0,0,0,1,3
10353.3,0,0,0,0,4
10371,0,0,0,1,3
10371,0,0,0,0,4
10390.1,0,0,0,1,3
10390.1,0,0,0,0,4
10404,0,0,0,1,3
10460.5,0,0,0,2,2
10480.1,0,0,0,3,1
10507.3,0,0,0,4,0
10507.3,0,0,0,1,3
