time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
520.001,0,0,0,3,1
529.748,0,0,0,4,0
529.75,0,0,0,3,1
529.751,0,0,0,1,3
567.499,0,0,0,2,2
567.501,0,0,0,1,3
570.276,0,0,0,2,2
570.277,0,0,0,1,3
579.422,0,0,0,2,2
841.338,0,0,0,4,0
841.34,0,0,0,2,2
1304.74,0,0,0,4,0
1304.74,0,0,0,3,1
1311.19,0,0,0,4,0
1360,0,0,0,1,3
1933.17,0,0,0,4,0
1933.17,0,0,0,2,2
1933.17,0,0,0,1,3
1936.96,0,0,0,2,2
1936.97,0,0,0,0,4
2737.01,0,0,0,2,2
2737.01,0,0,0,1,3
2737.01,0,0,0,0,4
2740.62,0,0,0,1,3
2745.21,0,0,0,2,2
2745.22,0,0,0,1,3
2754.52,0,0,0,2,2
2754.53,0,0,0,1,3
2758.71,0,0,0,2,2
2758.71,0,0,0,1,3
2766.9,0,0,0,2,2
2766.9,0,0,0,1,3
2772.26,0,0,0,2,2
2862.36,0,0,0,4,0
2862.36,0,0,0,3,1
2880.36,0,0,0,4,0
2880.36,0,0,0,3,1
2881.37,0,0,0,4,0
2881.37,0,0,0,3,1
2887.42,0,0,0,4,0
2887.42,0,0,0,3,1
2900.47,0,0,0,4,0
4360,0,0,0,3,1
4378.5,0,0,0,4,0
4378.5,0,0,0,3,1
4378.5,0,0,0,2,2
4384.18,0,0,0,3,1
4384.19,0,0,0,2,2
4386.06,0,0,0,3,1
4386.06,0,0,0,2,2
4386.37,0,0,0,3,1
4398.02,0,0,0,4,0
4398.02,0,0,0,3,1
4442.83,0,0,0,4,0
4442.84,0,0,0,3,1
4443.85,0,0,0,4,0
5080,0,0,0,3,1
5085.12,0,0,0,4,0
5085.12,0,0,0,3,1
5085.12,0,0,0,2,2
5091.83,0,0,0,3,1
5091.83,0,0,0,2,2
5101.38,0,0,0,3,1
5120,0,0,0,2,2
5122.41,0,0,0,3,1
5165.81,0,0,0,4,0
5165.81,0,0,0,1,3
5165.81,0,0,0,0,4
5173.94,0,0,0,1,3
5173.95,0,0,0,0,4
5179.69,0,0,0,1,3
5179.69,0,0,0,0,4
5180.02,0,0,0,1,3
5180.02,0,0,0,0,4
5184.21,0,0,0,1,3
5184.21,0,0,0,0,4
5275.4,0,0,0,1,3
5275.4,0,0,0,0,4
5279.29,0,0,0,1,3
5624.32,0,0,0,4,0
5624.32,0,0,0,3,1
5640.88,0,0,0,4,0
5640.88,0,0,0,3,1
5660.25,0,0,0,4,0
5800,0,0,0,1,3
6523.53,0,0,0,4,0
6523.53,0,0,0,3,1
6523.53,0,0,0,2,2
6543.25,0,0,0,3,1
6545.29,0,0,0,4,0
6545.29,0,0,0,2,2
7040.98,0,0,0,4,0
7040.98,0,0,0,3,1
7054.15,0,0,0,4,0
7054.15,0,0,0,3,1
7054.5,0,0,0,4,0
7054.5,0,0,0,3,1
7072.26,0,0,0,4,0
7160,0,0,0,3,1
7163.08,0,0,0,4,0
7163.08,0,0,0,3,1
7163.08,0,0,0,2,2
7172.28,0,0,0,3,1
7480,0,0,0,2,2
7556.15,0,0,0,3,1
7556.15,0,0,0,2,2
7556.15,0,0,0,0,4
7565.39,0,0,0,1,3
7565.39,0,0,0,0,4
7729.89,0,0,0,1,3
7760,0,0,0,0,4
7770.85,0,0,0,1,3
8017.65,0,0,0,3,1
8017.65,0,0,0,1,3
8017.65,0,0,0,0,4
8033.44,0,0,0,1,3
8033.44,0,0,0,0,4
8045.9,0,0,0,1,3
8045.91,0,0,0,0,4
8052.43,0,0,0,1,3
8052.43,0,0,0,0,4
8053.45,0,0,0,1,3
8053.45,0,0,0,0,4
8236.28,0,0,0,2,2
8236.28,0,0,0,1,3
8236.28,0,0,0,0,4
8242.73,0,0,0,1,3
8242.73,0,0,0,0,4
8244.96,0,0,0,1,3
8244.96,0,0,0,0,4
8248.25,0,0,0,1,3
8248.25,0,0,0,0,4
8253.17,0,0,0,1,3
8253.17,0,0,0,0,4
8254.14,0,0,0,1,3
8254.14,0,0,0,0,4
8254.38,0,0,0,1,3
8254.38,0,0,0,0,4
8254.62,0,0,0,1,3
8254.63,0,0,0,0,4
8258.61,0,0,0,1,3
8258.61,0,0,0,0,4
8259.19,0,0,0,1,3
8259.19,0,0,0,0,4
8268.17,0,0,0,1,3
8268.74,0,0,0,2,2
8393.14,0,0,0,3,1
8393.14,0,0,0,0,4
8473.21,0,0,0,1,3
8640,0,0,0,0,4
8645.68,0,0,0,1,3
8720,0,0,0,0,4
8733.17,0,0,0,1,3
8733.17,0,0,0,0,4
8733.66,0,0,0,1,3
8988.45,0,0,0,4,0
8988.45,0,0,0,2,2
8988.45,0,0,0,1,3
8988.45,0,0,0,0,4
9001.62,0,0,0,1,3
9001.63,0,0,0,0,4
9003.07,0,0,0,1,3
9003.07,0,0,0,0,4
9014.79,0,0,0,1,3
9014.8,0,0,0,0,4
9028.25,0,0,0,1,3
9028.25,0,0,0,0,4
9071.56,0,0,0,1,3
9071.56,0,0,0,0,4
9077.61,0,0,0,1,3
9077.61,0,0,0,0,4
9107.19,0,0,0,1,3
9107.19,0,0,0,0,4
9112.31,0,0,0,1,3
9112.31,0,0,0,0,4
9125.35,0,0,0,1,3
9125.35,0,0,0,0,4
9137.82,0,0,0,1,3
9137.82,0,0,0,0,4
9422.83,0,0,0,1,3
9422.83,0,0,0,0,4
9435.29,0,0,0,1,3
9435.29,0,0,0,0,4
9451.08,0,0,0,1,3
9451.08,0,0,0,0,4
9456.7,0,0,0,1,3
9456.7,0,0,0,0,4
9521.81,0,0,0,1,3
9521.82,0,0,0,0,4
9557.58,0,0,0,1,3
9557.58,0,0,0,0,4
9584.3,0,0,0,1,3
9584.31,0,0,0,0,4
9597.96,0,0,0,1,3
9597.96,0,0,0,0,4
9601.47,0,0,0,1,3
9601.48,0,0,0,0,4
9617.68,0,0,0,1,3
9617.68,0,0,0,0,4
9619.48,0,0,0,1,3
9619.48,0,0,0,0,4
9634.88,0,0,0,1,3
9634.89,0,0,0,0,4
9637.2,0,0,0,1,3
9637.2,0,0,0,0,4
9706.06,0,0,0,1,3
9706.06,0,0,0,0,4
9711.25,0,0,0,1,3
9711.25,0,0,0,0,4
9718.71,0,0,0,1,3
9792.29,0,0,0,3,1
9895.72,0,0,0,4,0
9895.72,0,0,0,1,3
9895.72,0,0,0,0,4
9896.4,0,0,0,1,3
10382.9,0,0,0,4,0
10382.9,0,0,0,1,3
10382.9,0,0,0,0,4
10472.3,0,0,0,1,3
10472.3,0,0,0,0,4
10489.5,0,0,0,1,3
