time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
640.001,0,0,0,15,1
640.369,0,0,0,16,0
640.371,0,0,0,15,1
640.371,0,0,0,14,2
643.153,0,0,0,15,1
648.556,0,0,0,16,0
648.557,0,0,0,15,1
650.558,0,0,0,16,0
650.56,0,0,0,15,1
652.623,0,0,0,16,0
652.624,0,0,0,15,1
654.257,0,0,0,16,0
654.258,0,0,0,15,1
654.502,0,0,0,16,0
1800,0,0,0,15,1
1800.5,0,0,0,16,0
1800.5,0,0,0,15,1
1800.5,0,0,0,14,2
1801.66,0,0,0,15,1
1811.55,0,0,0,16,0
1811.55,0,0,0,15,1
1811.6,0,0,0,16,0
1811.6,0,0,0,15,1
1813.66,0,0,0,16,0
1813.67,0,0,0,15,1
1816.26,0,0,0,16,0
1816.26,0,0,0,15,1
1831.16,0,0,0,16,0
2320,0,0,0,15,1
2322.53,0,0,0,16,0
2322.53,0,0,0,15,1
2322.53,0,0,0,14,2
2324.16,0,0,0,15,1
2324.16,0,0,0,14,2
2325.31,0,0,0,15,1
2325.83,0,0,0,16,0
2325.83,0,0,0,15,1
2328.61,0,0,0,16,0
2328.61,0,0,0,15,1
2331.29,0,0,0,16,0
2331.29,0,0,0,15,1
2338.87,0,0,0,16,0
2760,0,0,0,15,1
2762.49,0,0,0,16,0
2762.49,0,0,0,15,1
2762.49,0,0,0,14,2
2769.19,0,0,0,15,1
2769.19,0,0,0,14,2
2769.23,0,0,0,15,1
2769.23,0,0,0,14,2
2770.67,0,0,0,15,1
2771,0,0,0,16,0
2771,0,0,0,15,1
2773.6,0,0,0,16,0
2773.61,0,0,0,15,1
2773.87,0,0,0,16,0
2880,0,0,0,15,1
2881.54,0,0,0,16,0
2881.54,0,0,0,15,1
2881.54,0,0,0,14,2
2882.58,0,0,0,15,1
2882.58,0,0,0,14,2
2883.67,0,0,0,15,1
2883.67,0,0,0,14,2
2891.26,0,0,0,15,1
2892.48,0,0,0,16,0
2892.49,0,0,0,15,1
2894.15,0,0,0,16,0
2894.15,0,0,0,15,1
2894.2,0,0,0,16,0
4120,0,0,0,15,1
4125.6,0,0,0,16,0
4125.6,0,0,0,15,1
4125.6,0,0,0,14,2
4125.8,0,0,0,15,1
4128.19,0,0,0,16,0
4128.19,0,0,0,15,1
4130.59,0,0,0,16,0
4130.59,0,0,0,15,1
4135.4,0,0,0,16,0
4135.4,0,0,0,15,1
4135.89,0,0,0,16,0
4135.9,0,0,0,15,1
4136.94,0,0,0,16,0
4320,0,0,0,15,1
4324.76,0,0,0,16,0
4324.76,0,0,0,15,1
4324.76,0,0,0,14,2
4325.8,0,0,0,15,1
4325.8,0,0,0,14,2
4326.82,0,0,0,15,1
4327.57,0,0,0,16,0
4327.57,0,0,0,15,1
4329.22,0,0,0,16,0
4329.22,0,0,0,15,1
4330.88,0,0,0,16,0
4330.88,0,0,0,15,1
4331.42,0,0,0,16,0
4600,0,0,0,15,1
4611.27,0,0,0,16,0
4611.27,0,0,0,15,1
4611.27,0,0,0,14,2
4612.08,0,0,0,15,1
4613.8,0,0,0,16,0
4613.8,0,0,0,15,1
4615.33,0,0,0,16,0
4615.34,0,0,0,15,1
4626.28,0,0,0,16,0
4626.28,0,0,0,15,1
4630.04,0,0,0,16,0
4630.04,0,0,0,15,1
4630.25,0,0,0,16,0
5520,0,0,0,15,1
5520.2,0,0,0,16,0
5520.2,0,0,0,8,8
5520.21,0,0,0,7,9
5520.83,0,0,0,8,8
5789.01,0,0,0,16,0
5789.01,0,0,0,15,1
5789.81,0,0,0,16,0
5789.81,0,0,0,15,1
5791.47,0,0,0,16,0
5791.47,0,0,0,15,1
5792.22,0,0,0,16,0
5792.22,0,0,0,15,1
5792.9,0,0,0,16,0
5880,0,0,0,15,1
5881.63,0,0,0,16,0
5881.64,0,0,0,15,1
5881.64,0,0,0,14,2
5892.58,0,0,0,15,1
5892.69,0,0,0,16,0
5892.69,0,0,0,15,1
5895.51,0,0,0,16,0
5895.51,0,0,0,15,1
5897.94,0,0,0,16,0
5897.94,0,0,0,15,1
5898.27,0,0,0,16,0
5898.27,0,0,0,15,1
5900.66,0,0,0,16,0
6160,0,0,0,15,1
6161.04,0,0,0,16,0
6161.05,0,0,0,15,1
6161.05,0,0,0,14,2
6161.77,0,0,0,15,1
6163.87,0,0,0,16,0
6163.87,0,0,0,10,6
6320,0,0,0,9,7
6352.75,0,0,0,15,1
6352.75,0,0,0,7,9
6360,0,0,0,6,10
6360.93,0,0,0,7,9
6360.93,0,0,0,6,10
6362.68,0,0,0,7,9
6362.68,0,0,0,6,10
6362.68,0,0,0,5,11
6363.41,0,0,0,6,10
6367.49,0,0,0,7,9
6375.21,0,0,0,8,8
6375.21,0,0,0,1,15
6578.76,0,0,0,9,7
6578.76,0,0,0,1,15
6578.76,0,0,0,0,16
6586.32,0,0,0,1,15
6586.32,0,0,0,0,16
6588.16,0,0,0,1,15
6600,0,0,0,0,16
6613.02,0,0,0,1,15
6613.02,0,0,0,0,16
6617.08,0,0,0,1,15
6617.08,0,0,0,0,16
6620.59,0,0,0,1,15
6620.59,0,0,0,0,16
6629.02,0,0,0,1,15
6629.02,0,0,0,0,16
6632.79,0,0,0,1,15
6632.79,0,0,0,0,16
6633.03,0,0,0,1,15
6633.03,0,0,0,0,16
6657.07,0,0,0,1,15
6659.13,0,0,0,8,8
6659.13,0,0,0,7,9
6660.66,0,0,0,8,8
6660.66,0,0,0,7,9
6661.4,0,0,0,8,8
6661.4,0,0,0,7,9
6666.99,0,0,0,8,8
6680,0,0,0,7,9
6682.23,0,0,0,8,8
6682.23,0,0,0,7,9
