job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,low_31,280.000000,1,7.564515,1,COMPLETED_SUCCESSFULLY,280.001200,0.990958,280.992158,0.001200,0.992158,1.001211,0,-1.000000,""
1,w0,low_17,280.000000,1,2.945666,1,COMPLETED_SUCCESSFULLY,280.993808,0.384565,281.378373,0.993808,1.378373,3.584241,0,-1.000000,""
2,w0,low_58,280.000000,1,6.576393,1,COMPLETED_SUCCESSFULLY,281.380023,0.861184,282.241207,1.380023,2.241207,2.602472,0,-1.000000,""
3,w0,low_58,280.000000,1,6.576393,1,COMPLETED_SUCCESSFULLY,282.242857,0.861184,283.104041,2.242857,3.104041,3.604388,0,-1.000000,""
7,w0,low_32,480.000000,1,15.930074,1,COMPLETED_SUCCESSFULLY,480.001800,2.087759,482.089559,0.001800,2.089559,1.000862,0,-1.000000,""
8,w0,low_41,480.000000,1,8.240386,1,COMPLETED_SUCCESSFULLY,482.091809,5.397170,487.488979,2.091809,7.488979,1.387575,4,-1.000000,""
12,w0,med_80,480.000000,1,106.920098,1,COMPLETED_SUCCESSFULLY,482.091209,13.834653,495.925862,2.091209,15.925862,1.151157,0,-1.000000,""
5,w0,med_66,280.000000,3,245.361410,0,COMPLETED_WALLTIME_REACHED,280.994408,245.361410,526.355819,0.994408,246.355819,1.004053,1-3,-1.000000,""
14,w0,med_74,520.000000,1,59.753059,1,COMPLETED_SUCCESSFULLY,520.001800,7.650100,527.651900,0.001800,7.651900,1.000235,0,-1.000000,""
19,w0,low_48,520.000000,1,3.606925,1,COMPLETED_SUCCESSFULLY,527.654150,0.472942,528.127092,7.654150,8.127092,17.184125,0,-1.000000,""
15,w0,med_64,520.000000,3,99.782463,0,COMPLETED_WALLTIME_REACHED,527.653550,99.782463,627.436013,7.653550,107.436013,1.076702,6-8,-1.000000,""
6,w0,med_67,280.000000,3,310.300744,0,COMPLETED_WALLTIME_REACHED,526.357469,310.300744,836.658213,246.357469,556.658213,1.793931,1-3,-1.000000,""
4,w0,low_10,280.000000,1,13.455524,1,COMPLETED_SUCCESSFULLY,836.659863,8.812084,845.471947,556.659863,565.471947,64.170059,3,-1.000000,""
9,w0,med_63,480.000000,2,427.591305,0,COMPLETED_WALLTIME_REACHED,487.490629,427.591305,915.081934,7.490629,435.081934,1.017518,4-5,-1.000000,""
16,w0,med_94,520.000000,5,390.747916,0,COMPLETED_WALLTIME_REACHED,627.437663,390.747916,1018.185580,107.437663,498.185580,1.274954,6-10,-1.000000,""
17,w0,med_100,520.000000,1,109.023272,1,COMPLETED_SUCCESSFULLY,1018.187230,71.263244,1089.450474,498.187230,569.450474,7.990802,2,-1.000000,""
10,w0,med_91,480.000000,3,193.406286,0,COMPLETED_WALLTIME_REACHED,915.083584,193.406286,1108.489870,435.083584,628.489870,3.249583,3-5,-1.000000,""
13,w0,low_56,480.000000,1,4.317680,1,COMPLETED_SUCCESSFULLY,1108.491520,2.824548,1111.316068,628.491520,631.316068,223.510445,3,-1.000000,""
11,w0,low_3,480.000000,1,6.261429,1,COMPLETED_SUCCESSFULLY,1111.317718,4.101772,1115.419491,631.317718,635.419491,154.913398,3,-1.000000,""
21,w0,low_60,1160.000000,1,16.816051,1,COMPLETED_SUCCESSFULLY,1160.001800,11.027186,1171.028986,0.001800,11.028986,1.000163,3,-1.000000,""
26,w0,med_95,1160.000000,1,74.712287,1,COMPLETED_SUCCESSFULLY,1171.031236,47.928828,1218.960064,11.031236,58.960064,1.230159,4,-1.000000,""
22,w0,med_82,1160.000000,1,92.234993,1,COMPLETED_SUCCESSFULLY,1171.030636,59.217672,1230.248308,11.030636,70.248308,1.186273,3,-1.000000,""
23,w0,low_59,1160.000000,1,5.249153,1,COMPLETED_SUCCESSFULLY,1230.249958,3.431587,1233.681545,70.249958,73.681545,21.471566,3,-1.000000,""
24,w0,low_25,1160.000000,1,9.471244,1,COMPLETED_SUCCESSFULLY,1233.683195,6.207406,1239.890601,73.683195,79.890601,12.870207,3,-1.000000,""
27,w0,low_24,1160.000000,1,9.544754,1,COMPLETED_SUCCESSFULLY,1239.892251,6.257599,1246.149851,79.892251,86.149851,13.767237,3,-1.000000,""
28,w0,low_20,1320.000000,1,4.868435,1,COMPLETED_SUCCESSFULLY,1320.001800,3.185194,1323.186994,0.001800,3.186994,1.000565,7,-1.000000,""
29,w0,low_22,1320.000000,1,17.288706,1,COMPLETED_SUCCESSFULLY,1323.188644,11.338324,1334.526968,3.188644,14.526968,1.281227,7,-1.000000,""
30,w0,low_37,1320.000000,1,18.308675,1,COMPLETED_SUCCESSFULLY,1334.528618,12.002248,1346.530866,14.528618,26.530866,2.210491,7,-1.000000,""
31,w0,low_27,1320.000000,1,4.651160,1,COMPLETED_SUCCESSFULLY,1346.532516,3.045786,1349.578303,26.532516,29.578303,9.711221,7,-1.000000,""
35,w0,med_78,1440.000000,1,25.551121,1,COMPLETED_SUCCESSFULLY,1440.001800,16.281923,1456.283723,0.001800,16.283723,1.000111,7,-1.000000,""
