time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
280.001,0,0,0,15,1
280.992,0,0,0,16,0
280.994,0,0,0,15,1
280.994,0,0,0,12,4
281.378,0,0,0,13,3
281.38,0,0,0,12,4
282.241,0,0,0,13,3
282.243,0,0,0,12,4
283.104,0,0,0,13,3
480.002,0,0,0,12,4
482.09,0,0,0,13,3
482.091,0,0,0,12,4
482.092,0,0,0,11,5
487.489,0,0,0,12,4
487.491,0,0,0,10,6
495.926,0,0,0,11,5
520.002,0,0,0,10,6
526.356,0,0,0,13,3
526.357,0,0,0,10,6
527.652,0,0,0,11,5
527.654,0,0,0,8,8
527.654,0,0,0,7,9
528.127,0,0,0,8,8
627.436,0,0,0,11,5
627.438,0,0,0,6,10
836.658,0,0,0,9,7
836.66,0,0,0,8,8
845.472,0,0,0,9,7
915.082,0,0,0,11,5
915.084,0,0,0,8,8
1018.19,0,0,0,13,3
1018.19,0,0,0,12,4
1089.45,0,0,0,13,3
1089.45,0,0,0,10,6
1108.49,0,0,0,13,3
1108.49,0,0,0,12,4
1111.32,0,0,0,13,3
1111.32,0,0,0,12,4
1115.42,0,0,0,13,3
1160,0,0,0,12,4
1171.03,0,0,0,13,3
1171.03,0,0,0,12,4
1171.03,0,0,0,11,5
1218.96,0,0,0,12,4
1230.25,0,0,0,13,3
1230.25,0,0,0,12,4
1233.68,0,0,0,13,3
1233.68,0,0,0,12,4
1239.89,0,0,0,13,3
1239.89,0,0,0,12,4
1246.15,0,0,0,13,3
1246.15,0,0,0,9,7
1320,0,0,0,8,8
1323.19,0,0,0,9,7
1323.19,0,0,0,8,8
1323.19,0,0,0,5,11
1334.53,0,0,0,6,10
1334.53,0,0,0,5,11
1346.53,0,0,0,6,10
1346.53,0,0,0,5,11
1349.58,0,0,0,6,10
1440,0,0,0,5,11
1456.28,0,0,0,6,10
1456.29,0,0,0,5,11
1456.29,0,0,0,4,12
1504.71,0,0,0,5,11
1520,0,0,0,1,15
1525.13,0,0,0,2,14
1525.14,0,0,0,1,15
1528.5,0,0,0,2,14
1528.5,0,0,0,1,15
1534.71,0,0,0,2,14
1534.71,0,0,0,1,15
1539.81,0,0,0,5,11
1600,0,0,0,4,12
1602.12,0,0,0,5,11
1602.12,0,0,0,4,12
1602.12,0,0,0,3,13
1605.97,0,0,0,4,12
1605.97,0,0,0,3,13
1606.57,0,0,0,4,12
1606.58,0,0,0,3,13
1608.69,0,0,0,4,12
1608.7,0,0,0,3,13
