job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,low_31,280.000000,1,7.564515,1,COMPLETED_SUCCESSFULLY,280.001200,3.468354,283.469554,0.001200,3.469554,1.000346,0,-1.000000,""
1,w0,low_17,280.000000,1,2.945666,1,COMPLETED_SUCCESSFULLY,283.471204,1.345977,284.817181,3.471204,4.817181,3.578947,0,-1.000000,""
2,w0,low_58,280.000000,1,6.576393,1,COMPLETED_SUCCESSFULLY,284.818831,3.014144,287.832975,4.818831,7.832975,2.598740,0,-1.000000,""
3,w0,low_58,280.000000,1,6.576393,1,COMPLETED_SUCCESSFULLY,287.834625,3.014144,290.848769,7.834625,10.848769,3.599287,0,-1.000000,""
7,w0,low_32,480.000000,1,15.930074,1,COMPLETED_SUCCESSFULLY,480.001800,7.307158,487.308958,0.001800,7.308958,1.000246,0,-1.000000,""
8,w0,low_41,480.000000,1,8.240386,1,COMPLETED_SUCCESSFULLY,487.311208,0.037780,487.348988,7.311208,7.348988,194.519636,4,-1.000000,""
9,w0,med_63,480.000000,2,427.591305,1,COMPLETED_SUCCESSFULLY,487.350638,3.909964,491.260603,7.350638,11.260603,2.879976,4-5,-1.000000,""
10,w0,med_91,480.000000,3,193.406286,1,COMPLETED_SUCCESSFULLY,491.262253,2.586284,493.848537,11.262253,13.848537,5.354608,4-6,-1.000000,""
14,w0,med_74,520.000000,1,59.753059,1,COMPLETED_SUCCESSFULLY,520.001800,0.267754,520.269554,0.001800,0.269554,1.006723,4,-1.000000,""
19,w0,low_48,520.000000,1,3.606925,1,COMPLETED_SUCCESSFULLY,520.271804,0.016553,520.288357,0.271804,0.288357,17.420262,7,-1.000000,""
15,w0,med_64,520.000000,3,99.782463,1,COMPLETED_SUCCESSFULLY,520.271204,1.277731,521.548935,0.271204,1.548935,1.212254,4-6,-1.000000,""
5,w0,med_66,280.000000,3,245.361410,0,COMPLETED_WALLTIME_REACHED,283.471804,245.361410,528.833214,3.471804,248.833214,1.014150,1-3,-1.000000,""
12,w0,med_80,480.000000,1,106.920098,1,COMPLETED_SUCCESSFULLY,487.310608,48.421285,535.731893,7.310608,55.731893,1.150979,0,-1.000000,""
13,w0,low_56,480.000000,1,4.317680,1,COMPLETED_SUCCESSFULLY,535.733543,1.977184,537.710727,55.733543,57.710727,29.188346,0,-1.000000,""
11,w0,low_3,480.000000,1,6.261429,1,COMPLETED_SUCCESSFULLY,537.712377,2.871241,540.583618,57.712377,60.583618,21.100153,0,-1.000000,""
6,w0,med_67,280.000000,3,310.300744,0,COMPLETED_WALLTIME_REACHED,528.834864,310.300744,839.135609,248.834864,559.135609,1.801915,1-3,-1.000000,""
4,w0,low_10,280.000000,1,13.455524,1,COMPLETED_SUCCESSFULLY,839.137259,0.061685,839.198944,559.137259,559.198944,9065.456514,3,-1.000000,""
16,w0,med_94,520.000000,5,390.747916,0,COMPLETED_WALLTIME_REACHED,521.550585,390.747916,912.298502,1.550585,392.298502,1.003968,4-8,-1.000000,""
17,w0,med_100,520.000000,1,109.023272,1,COMPLETED_SUCCESSFULLY,912.300152,0.498843,912.798995,392.300152,392.798995,787.420545,15,-1.000000,""
20,w0,med_79,520.000000,3,583.978143,1,COMPLETED_SUCCESSFULLY,912.800645,8.007596,920.808241,392.800645,400.808241,50.053507,13-15,-1.000000,""
18,w0,med_71,520.000000,1,43.009272,1,COMPLETED_SUCCESSFULLY,920.809891,0.194834,921.004725,400.809891,401.004725,2058.183884,15,-1.000000,""
21,w0,low_60,1160.000000,1,16.816051,1,COMPLETED_SUCCESSFULLY,1160.001800,0.077190,1160.078990,0.001800,0.078990,1.023319,15,-1.000000,""
26,w0,med_95,1160.000000,1,74.712287,1,COMPLETED_SUCCESSFULLY,1160.081240,0.335502,1160.416742,0.081240,0.416742,1.242146,14,-1.000000,""
22,w0,med_82,1160.000000,1,92.234993,1,COMPLETED_SUCCESSFULLY,1160.080640,0.414524,1160.495164,0.080640,0.495164,1.194537,15,-1.000000,""
23,w0,low_59,1160.000000,1,5.249153,1,COMPLETED_SUCCESSFULLY,1160.496814,0.024021,1160.520835,0.496814,0.520835,21.682395,15,-1.000000,""
24,w0,low_25,1160.000000,1,9.471244,1,COMPLETED_SUCCESSFULLY,1160.522485,0.043452,1160.565937,0.522485,0.565937,13.024465,15,-1.000000,""
27,w0,low_24,1160.000000,1,9.544754,1,COMPLETED_SUCCESSFULLY,1160.567587,0.043803,1160.611390,0.567587,0.611390,13.957663,15,-1.000000,""
25,w0,med_92,1160.000000,4,293.659751,1,COMPLETED_SUCCESSFULLY,1160.613040,5.307557,1165.920598,0.613040,5.920598,1.115503,12-15,-1.000000,""
28,w0,low_20,1320.000000,1,4.868435,1,COMPLETED_SUCCESSFULLY,1320.001800,0.022296,1320.024096,0.001800,0.024096,1.080732,15,-1.000000,""
29,w0,low_22,1320.000000,1,17.288706,1,COMPLETED_SUCCESSFULLY,1320.025746,0.079368,1320.105115,0.025746,0.105115,1.324392,15,-1.000000,""
30,w0,low_37,1320.000000,1,18.308675,1,COMPLETED_SUCCESSFULLY,1320.106765,8.401574,1328.508339,0.106765,8.508339,1.012708,11,-1.000000,""
33,w0,med_86,1320.000000,3,661.946838,1,COMPLETED_SUCCESSFULLY,1320.026346,9.103611,1329.129957,0.026346,9.129957,1.002894,12-14,-1.000000,""
31,w0,low_27,1320.000000,1,4.651160,1,COMPLETED_SUCCESSFULLY,1328.509989,2.132050,1330.642039,8.509989,10.642039,4.991458,11,-1.000000,""
34,w0,low_2,1320.000000,1,19.903828,1,COMPLETED_SUCCESSFULLY,1330.643689,0.091344,1330.735034,10.643689,10.735034,117.522879,15,-1.000000,""
32,w0,med_71,1320.000000,1,43.009272,1,COMPLETED_SUCCESSFULLY,1330.736684,0.194834,1330.931518,10.736684,10.931518,56.106757,15,-1.000000,""
35,w0,med_78,1440.000000,1,25.551121,1,COMPLETED_SUCCESSFULLY,1440.001800,0.113973,1440.115773,0.001800,0.115773,1.015793,15,-1.000000,""
36,w0,med_93,1440.000000,1,105.062674,1,COMPLETED_SUCCESSFULLY,1440.117423,0.481943,1440.599366,0.117423,0.599366,1.243646,15,-1.000000,""
40,w0,med_80,1440.000000,1,106.920098,1,COMPLETED_SUCCESSFULLY,1440.118024,0.484213,1440.602236,0.118024,0.602236,1.243743,14,-1.000000,""
37,w0,low_4,1440.000000,1,5.140107,1,COMPLETED_SUCCESSFULLY,1440.601016,0.023541,1440.624558,0.601016,0.624558,26.530278,13,-1.000000,""
38,w0,low_25,1440.000000,1,9.471244,1,COMPLETED_SUCCESSFULLY,1440.626208,0.043452,1440.669660,0.626208,0.669660,15.411540,15,-1.000000,""
41,w0,med_100,1440.000000,1,109.023272,1,COMPLETED_SUCCESSFULLY,1440.671310,0.498843,1441.170153,0.671310,1.170153,2.345735,15,-1.000000,""
39,w0,low_25,1440.000000,1,9.471244,1,COMPLETED_SUCCESSFULLY,1441.171803,0.043452,1441.215255,1.171803,1.215255,27.967854,15,-1.000000,""
42,w0,med_96,1520.000000,4,293.485416,1,COMPLETED_SUCCESSFULLY,1520.001800,5.315599,1525.317399,0.001800,5.317399,1.000339,12-15,-1.000000,""
47,w0,med_89,1520.000000,1,45.841051,1,COMPLETED_SUCCESSFULLY,1525.319649,0.204691,1525.524340,5.319649,5.524340,26.988660,12,-1.000000,""
43,w0,med_62,1520.000000,3,97.677450,1,COMPLETED_SUCCESSFULLY,1525.319049,1.272343,1526.591393,5.319049,6.591393,5.180514,13-15,-1.000000,""
44,w0,med_91,1520.000000,3,193.406286,1,COMPLETED_SUCCESSFULLY,1526.593043,2.586284,1529.179327,6.593043,9.179327,3.549234,13-15,-1.000000,""
