time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
280.001,0,0,0,15,1
283.47,0,0,0,16,0
283.471,0,0,0,15,1
283.472,0,0,0,12,4
284.817,0,0,0,13,3
284.819,0,0,0,12,4
287.833,0,0,0,13,3
287.835,0,0,0,12,4
290.849,0,0,0,13,3
480.002,0,0,0,12,4
487.309,0,0,0,13,3
487.311,0,0,0,12,4
487.311,0,0,0,11,5
487.349,0,0,0,12,4
487.351,0,0,0,10,6
491.261,0,0,0,12,4
491.262,0,0,0,9,7
493.849,0,0,0,12,4
520.002,0,0,0,11,5
520.27,0,0,0,12,4
520.271,0,0,0,9,7
520.272,0,0,0,8,8
520.288,0,0,0,9,7
521.549,0,0,0,12,4
521.551,0,0,0,7,9
528.833,0,0,0,10,6
528.835,0,0,0,7,9
535.732,0,0,0,8,8
535.734,0,0,0,7,9
537.711,0,0,0,8,8
537.712,0,0,0,7,9
540.584,0,0,0,8,8
839.136,0,0,0,11,5
839.137,0,0,0,10,6
839.199,0,0,0,11,5
912.299,0,0,0,16,0
912.3,0,0,0,15,1
912.799,0,0,0,16,0
912.801,0,0,0,13,3
920.808,0,0,0,16,0
920.81,0,0,0,15,1
921.005,0,0,0,16,0
1160,0,0,0,15,1
1160.08,0,0,0,16,0
1160.08,0,0,0,15,1
1160.08,0,0,0,14,2
1160.42,0,0,0,15,1
1160.5,0,0,0,16,0
1160.5,0,0,0,15,1
1160.52,0,0,0,16,0
1160.52,0,0,0,15,1
1160.57,0,0,0,16,0
1160.57,0,0,0,15,1
1160.61,0,0,0,16,0
1160.61,0,0,0,12,4
1165.92,0,0,0,16,0
1320,0,0,0,15,1
1320.02,0,0,0,16,0
1320.03,0,0,0,15,1
1320.03,0,0,0,12,4
1320.11,0,0,0,13,3
1320.11,0,0,0,12,4
1328.51,0,0,0,13,3
1328.51,0,0,0,12,4
1329.13,0,0,0,15,1
1330.64,0,0,0,16,0
1330.64,0,0,0,15,1
1330.74,0,0,0,16,0
1330.74,0,0,0,15,1
1330.93,0,0,0,16,0
1440,0,0,0,15,1
1440.12,0,0,0,16,0
1440.12,0,0,0,15,1
1440.12,0,0,0,14,2
1440.6,0,0,0,15,1
1440.6,0,0,0,14,2
1440.6,0,0,0,15,1
1440.62,0,0,0,16,0
1440.63,0,0,0,15,1
1440.67,0,0,0,16,0
1440.67,0,0,0,15,1
1441.17,0,0,0,16,0
1441.17,0,0,0,15,1
1441.22,0,0,0,16,0
1520,0,0,0,12,4
1525.32,0,0,0,16,0
1525.32,0,0,0,13,3
1525.32,0,0,0,12,4
1525.52,0,0,0,13,3
1526.59,0,0,0,16,0
1526.59,0,0,0,13,3
1529.18,0,0,0,16,0
1529.18,0,0,0,15,1
1529.55,0,0,0,16,0
1529.55,0,0,0,15,1
1529.6,0,0,0,16,0
1529.6,0,0,0,15,1
1529.84,0,0,0,16,0
1600,0,0,0,15,1
1600.02,0,0,0,16,0
1600.02,0,0,0,15,1
1600.02,0,0,0,14,2
1600.05,0,0,0,15,1
1600.05,0,0,0,14,2
1600.07,0,0,0,15,1
1600.07,0,0,0,14,2
1600.11,0,0,0,15,1
1601.35,0,0,0,16,0
1601.36,0,0,0,15,1
1601.77,0,0,0,16,0
1601.77,0,0,0,15,1
1601.83,0,0,0,16,0
1920,0,0,0,15,1
1920.02,0,0,0,16,0
