time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
520,0,0,0,3,1
539.718,0,0,0,4,0
539.72,0,0,0,3,1
539.72,0,0,0,1,3
616.082,0,0,0,2,2
616.084,0,0,0,1,3
621.698,0,0,0,2,2
621.7,0,0,0,1,3
640.199,0,0,0,2,2
851.307,0,0,0,4,0
851.309,0,0,0,2,2
1314.71,0,0,0,4,0
1314.71,0,0,0,3,1
1327.75,0,0,0,4,0
1360,0,0,0,1,3
1933.17,0,0,0,4,0
1933.17,0,0,0,2,2
1933.17,0,0,0,1,3
1936.96,0,0,0,2,2
1936.96,0,0,0,0,4
2737.01,0,0,0,2,2
2737.01,0,0,0,1,3
2737.01,0,0,0,0,4
2740.62,0,0,0,1,3
2753.61,0,0,0,2,2
2753.61,0,0,0,1,3
2772.44,0,0,0,2,2
2772.44,0,0,0,1,3
2780.9,0,0,0,2,2
2780.9,0,0,0,1,3
2797.47,0,0,0,2,2
2797.47,0,0,0,1,3
2808.32,0,0,0,2,2
2862.35,0,0,0,4,0
2862.35,0,0,0,3,1
2873.79,0,0,0,4,0
2873.8,0,0,0,3,1
2874.44,0,0,0,4,0
2874.44,0,0,0,3,1
2878.29,0,0,0,4,0
2878.29,0,0,0,3,1
2886.58,0,0,0,4,0
4360,0,0,0,3,1
4371.76,0,0,0,4,0
4371.76,0,0,0,3,1
4371.76,0,0,0,2,2
4375.37,0,0,0,3,1
4375.37,0,0,0,2,2
4377.25,0,0,0,3,1
4377.25,0,0,0,2,2
4377.56,0,0,0,3,1
4391.28,0,0,0,4,0
4391.28,0,0,0,3,1
4419.76,0,0,0,4,0
4419.76,0,0,0,3,1
4420.41,0,0,0,4,0
5080,0,0,0,3,1
5083.25,0,0,0,4,0
5083.25,0,0,0,3,1
5083.25,0,0,0,2,2
5087.52,0,0,0,3,1
5087.52,0,0,0,2,2
5097.07,0,0,0,3,1
5120,0,0,0,2,2
5122.41,0,0,0,3,1
5163.94,0,0,0,4,0
5163.95,0,0,0,1,3
5163.95,0,0,0,0,4
5180.39,0,0,0,1,3
5180.4,0,0,0,0,4
5192.01,0,0,0,1,3
5192.01,0,0,0,0,4
5192.69,0,0,0,1,3
5192.69,0,0,0,0,4
5201.15,0,0,0,1,3
5201.15,0,0,0,0,4
5385.62,0,0,0,1,3
5385.62,0,0,0,0,4
5393.49,0,0,0,1,3
5622.45,0,0,0,4,0
5622.45,0,0,0,3,1
5632.98,0,0,0,4,0
5632.98,0,0,0,3,1
5645.29,0,0,0,4,0
5800,0,0,0,1,3
6523.53,0,0,0,4,0
6523.53,0,0,0,3,1
6523.53,0,0,0,2,2
6537.36,0,0,0,3,1
6537.36,0,0,0,1,3
6543.25,0,0,0,2,2
7033.05,0,0,0,4,0
7033.05,0,0,0,3,1
7046.22,0,0,0,4,0
7046.22,0,0,0,3,1
7046.57,0,0,0,4,0
7046.57,0,0,0,3,1
7064.33,0,0,0,4,0
7160,0,0,0,3,1
7163.07,0,0,0,4,0
7163.08,0,0,0,3,1
7163.08,0,0,0,2,2
7168.93,0,0,0,3,1
7480,0,0,0,2,2
7528.4,0,0,0,3,1
7528.4,0,0,0,2,2
7528.4,0,0,0,0,4
7534.27,0,0,0,1,3
7534.27,0,0,0,0,4
7729.89,0,0,0,1,3
7760,0,0,0,0,4
7770.85,0,0,0,1,3
7770.85,0,0,0,0,4
7786.64,0,0,0,1,3
7989.9,0,0,0,3,1
7989.9,0,0,0,1,3
7989.9,0,0,0,0,4
8002.36,0,0,0,1,3
8002.37,0,0,0,0,4
8008.89,0,0,0,1,3
8008.89,0,0,0,0,4
8009.91,0,0,0,1,3
8009.91,0,0,0,0,4
8028.74,0,0,0,1,3
8028.74,0,0,0,0,4
8033.26,0,0,0,1,3
8033.26,0,0,0,0,4
8042.5,0,0,0,1,3
8042.51,0,0,0,0,4
8042.99,0,0,0,1,3
8042.99,0,0,0,0,4
8060.37,0,0,0,1,3
8200,0,0,0,0,4
8203.61,0,0,0,1,3
8203.61,0,0,0,0,4
8208.53,0,0,0,2,2
8211.9,0,0,0,3,1
8211.9,0,0,0,0,4
8462.75,0,0,0,1,3
8462.75,0,0,0,0,4
8807.21,0,0,0,3,1
8807.21,0,0,0,2,2
8807.21,0,0,0,1,3
8807.21,0,0,0,0,4
8807.52,0,0,0,1,3
8807.52,0,0,0,0,4
8817.77,0,0,0,1,3
8817.77,0,0,0,0,4
8817.88,0,0,0,1,3
8817.89,0,0,0,0,4
8818.07,0,0,0,1,3
8818.08,0,0,0,0,4
8819.32,0,0,0,1,3
8819.33,0,0,0,0,4
8820.38,0,0,0,1,3
8820.39,0,0,0,0,4
8827.17,0,0,0,1,3
8827.17,0,0,0,0,4
8827.7,0,0,0,1,3
8827.7,0,0,0,0,4
8836.73,0,0,0,1,3
8836.73,0,0,0,0,4
8840.57,0,0,0,1,3
8840.58,0,0,0,0,4
8849.97,0,0,0,1,3
8849.97,0,0,0,0,4
8852.85,0,0,0,1,3
8852.85,0,0,0,0,4
8855.22,0,0,0,1,3
8855.23,0,0,0,0,4
8858.48,0,0,0,1,3
8860.77,0,0,0,2,2
8863.01,0,0,0,3,1
8863.01,0,0,0,1,3
8863.01,0,0,0,0,4
8870.93,0,0,0,1,3
8870.93,0,0,0,0,4
8879.3,0,0,0,1,3
8879.31,0,0,0,0,4
8882.51,0,0,0,1,3
8882.51,0,0,0,0,4
8888.13,0,0,0,1,3
8888.14,0,0,0,0,4
8889.34,0,0,0,1,3
8889.34,0,0,0,0,4
8897.89,0,0,0,1,3
8897.89,0,0,0,0,4
8914.86,0,0,0,1,3
8914.86,0,0,0,0,4
8934.58,0,0,0,1,3
8934.58,0,0,0,0,4
8946.29,0,0,0,1,3
8946.29,0,0,0,0,4
8951.75,0,0,0,1,3
8951.76,0,0,0,0,4
8969.48,0,0,0,1,3
8969.48,0,0,0,0,4
9038.34,0,0,0,1,3
9038.34,0,0,0,0,4
9114.7,0,0,0,1,3
9114.7,0,0,0,0,4
9213.08,0,0,0,1,3
9240,0,0,0,0,4
9281.38,0,0,0,1,3
9299.17,0,0,0,2,2
9666.85,0,0,0,4,0
9666.85,0,0,0,1,3
9666.85,0,0,0,0,4
9678.29,0,0,0,1,3
9678.29,0,0,0,0,4
9689.23,0,0,0,1,3
